Date,Fut,Tag,Value,month,year
6/20/2003,July 03,Sales,1002,6,2003
6/20/2003,July 03,S Change,-192,6,2003
6/20/2003,July 03,Purchase,498,6,2003
6/20/2003,July 03,P Change,-319,6,2003
6/20/2003,July 03,OI,4192,6,2003
6/20/2003,July 03,OI Change,-17671,6,2003
6/20/2003,October 03,Sales,2470,6,2003
6/20/2003,October 03,S Change,-127,6,2003
6/20/2003,October 03,Purchase,454,6,2003
6/20/2003,October 03,P Change,58,6,2003
6/20/2003,October 03,OI,3397,6,2003
6/20/2003,October 03,OI Change,-22,6,2003
6/20/2003,December 03,Sales,7157,6,2003
6/20/2003,December 03,S Change,485,6,2003
6/20/2003,December 03,Purchase,6757,6,2003
6/20/2003,December 03,P Change,406,6,2003
6/20/2003,December 03,OI,41883,6,2003
6/20/2003,December 03,OI Change,3905,6,2003
6/20/2003,March 04,Sales,7928,6,2003
6/20/2003,March 04,S Change,854,6,2003
6/20/2003,March 04,Purchase,1121,6,2003
6/20/2003,March 04,P Change,0,6,2003
6/20/2003,March 04,OI,5860,6,2003
6/20/2003,March 04,OI Change,67,6,2003
6/20/2003,May 04,Sales,4651,6,2003
6/20/2003,May 04,S Change,489,6,2003
6/20/2003,May 04,Purchase,42,6,2003
6/20/2003,May 04,P Change,0,6,2003
6/20/2003,May 04,OI,2273,6,2003
6/20/2003,May 04,OI Change,64,6,2003
6/20/2003,July 04,Sales,6722,6,2003
6/20/2003,July 04,S Change,866,6,2003
6/20/2003,July 04,Purchase,45,6,2003
6/20/2003,July 04,P Change,0,6,2003
6/20/2003,July 04,OI,1849,6,2003
6/20/2003,July 04,OI Change,-25,6,2003
6/20/2003,October 04,Sales,1742,6,2003
6/20/2003,October 04,S Change,210,6,2003
6/20/2003,October 04,Purchase,17,6,2003
6/20/2003,October 04,P Change,0,6,2003
6/20/2003,October 04,OI,82,6,2003
6/20/2003,October 04,OI Change,-14,6,2003
6/20/2003,December 04,Sales,1189,6,2003
6/20/2003,December 04,S Change,50,6,2003
6/20/2003,December 04,Purchase,23,6,2003
6/20/2003,December 04,P Change,0,6,2003
6/20/2003,December 04,OI,489,6,2003
6/20/2003,December 04,OI Change,3,6,2003
6/20/2003,March 05,Sales,115,6,2003
6/20/2003,March 05,S Change,0,6,2003
6/20/2003,March 05,Purchase,0,6,2003
6/20/2003,March 05,P Change,0,6,2003
6/20/2003,March 05,OI,10,6,2003
6/20/2003,March 05,OI Change,0,6,2003
6/20/2003,Totals,Sales,32976,6,2003
6/20/2003,Totals,S Change,2635,6,2003
6/20/2003,Totals,Purchase,8957,6,2003
6/20/2003,Totals,P Change,145,6,2003
6/20/2003,Totals,OI,60035,6,2003
6/20/2003,Totals,OI Change,-13693,6,2003
6/27/2003,July 03,Sales,49,6,2003
6/27/2003,July 03,S Change,-953,6,2003
6/27/2003,July 03,Purchase,376,6,2003
6/27/2003,July 03,P Change,-122,6,2003
6/27/2003,July 03,OI,137,6,2003
6/27/2003,July 03,OI Change,-4055,6,2003
6/27/2003,October 03,Sales,2486,6,2003
6/27/2003,October 03,S Change,16,6,2003
6/27/2003,October 03,Purchase,482,6,2003
6/27/2003,October 03,P Change,28,6,2003
6/27/2003,October 03,OI,3398,6,2003
6/27/2003,October 03,OI Change,1,6,2003
6/27/2003,December 03,Sales,8348,6,2003
6/27/2003,December 03,S Change,1191,6,2003
6/27/2003,December 03,Purchase,6890,6,2003
6/27/2003,December 03,P Change,133,6,2003
6/27/2003,December 03,OI,41731,6,2003
6/27/2003,December 03,OI Change,-152,6,2003
6/27/2003,March 04,Sales,9592,6,2003
6/27/2003,March 04,S Change,1664,6,2003
6/27/2003,March 04,Purchase,1121,6,2003
6/27/2003,March 04,P Change,0,6,2003
6/27/2003,March 04,OI,5973,6,2003
6/27/2003,March 04,OI Change,113,6,2003
6/27/2003,May 04,Sales,5885,6,2003
6/27/2003,May 04,S Change,1234,6,2003
6/27/2003,May 04,Purchase,42,6,2003
6/27/2003,May 04,P Change,0,6,2003
6/27/2003,May 04,OI,2292,6,2003
6/27/2003,May 04,OI Change,19,6,2003
6/27/2003,July 04,Sales,9167,6,2003
6/27/2003,July 04,S Change,2445,6,2003
6/27/2003,July 04,Purchase,177,6,2003
6/27/2003,July 04,P Change,132,6,2003
6/27/2003,July 04,OI,1820,6,2003
6/27/2003,July 04,OI Change,-29,6,2003
6/27/2003,October 04,Sales,1809,6,2003
6/27/2003,October 04,S Change,67,6,2003
6/27/2003,October 04,Purchase,17,6,2003
6/27/2003,October 04,P Change,0,6,2003
6/27/2003,October 04,OI,82,6,2003
6/27/2003,October 04,OI Change,0,6,2003
6/27/2003,December 04,Sales,1919,6,2003
6/27/2003,December 04,S Change,730,6,2003
6/27/2003,December 04,Purchase,23,6,2003
6/27/2003,December 04,P Change,0,6,2003
6/27/2003,December 04,OI,489,6,2003
6/27/2003,December 04,OI Change,0,6,2003
6/27/2003,March 05,Sales,145,6,2003
6/27/2003,March 05,S Change,30,6,2003
6/27/2003,March 05,Purchase,0,6,2003
6/27/2003,March 05,P Change,0,6,2003
6/27/2003,March 05,OI,10,6,2003
6/27/2003,March 05,OI Change,0,6,2003
6/27/2003,May 05,Sales,16,6,2003
6/27/2003,May 05,S Change,16,6,2003
6/27/2003,May 05,Purchase,0,6,2003
6/27/2003,May 05,P Change,0,6,2003
6/27/2003,May 05,OI,25,6,2003
6/27/2003,May 05,OI Change,25,6,2003
6/27/2003,July 05,Sales,26,6,2003
6/27/2003,July 05,S Change,26,6,2003
6/27/2003,July 05,Purchase,0,6,2003
6/27/2003,July 05,P Change,0,6,2003
6/27/2003,July 05,OI,0,6,2003
6/27/2003,July 05,OI Change,0,6,2003
6/27/2003,Totals,Sales,39442,6,2003
6/27/2003,Totals,S Change,6466,6,2003
6/27/2003,Totals,Purchase,9128,6,2003
6/27/2003,Totals,P Change,171,6,2003
6/27/2003,Totals,OI,55957,6,2003
6/27/2003,Totals,OI Change,-4078,6,2003
7/11/2003,July 03,Sales,49,7,2003
7/11/2003,July 03,S Change,0,7,2003
7/11/2003,July 03,Purchase,0,7,2003
7/11/2003,July 03,P Change,0,7,2003
7/11/2003,July 03,OI,15,7,2003
7/11/2003,July 03,OI Change,-46,7,2003
7/11/2003,October 03,Sales,2180,7,2003
7/11/2003,October 03,S Change,-254,7,2003
7/11/2003,October 03,Purchase,521,7,2003
7/11/2003,October 03,P Change,5,7,2003
7/11/2003,October 03,OI,3499,7,2003
7/11/2003,October 03,OI Change,-627,7,2003
7/11/2003,December 03,Sales,10336,7,2003
7/11/2003,December 03,S Change,1503,7,2003
7/11/2003,December 03,Purchase,6378,7,2003
7/11/2003,December 03,P Change,-557,7,2003
7/11/2003,December 03,OI,48052,7,2003
7/11/2003,December 03,OI Change,4609,7,2003
7/11/2003,March 04,Sales,10016,7,2003
7/11/2003,March 04,S Change,258,7,2003
7/11/2003,March 04,Purchase,1119,7,2003
7/11/2003,March 04,P Change,-2,7,2003
7/11/2003,March 04,OI,7025,7,2003
7/11/2003,March 04,OI Change,590,7,2003
7/11/2003,May 04,Sales,6403,7,2003
7/11/2003,May 04,S Change,81,7,2003
7/11/2003,May 04,Purchase,1463,7,2003
7/11/2003,May 04,P Change,-18,7,2003
7/11/2003,May 04,OI,2518,7,2003
7/11/2003,May 04,OI Change,220,7,2003
7/11/2003,July 04,Sales,9645,7,2003
7/11/2003,July 04,S Change,-40,7,2003
7/11/2003,July 04,Purchase,45,7,2003
7/11/2003,July 04,P Change,-132,7,2003
7/11/2003,July 04,OI,2185,7,2003
7/11/2003,July 04,OI Change,229,7,2003
7/11/2003,October 04,Sales,1800,7,2003
7/11/2003,October 04,S Change,44,7,2003
7/11/2003,October 04,Purchase,17,7,2003
7/11/2003,October 04,P Change,0,7,2003
7/11/2003,October 04,OI,109,7,2003
7/11/2003,October 04,OI Change,27,7,2003
7/11/2003,December 04,Sales,1962,7,2003
7/11/2003,December 04,S Change,16,7,2003
7/11/2003,December 04,Purchase,23,7,2003
7/11/2003,December 04,P Change,0,7,2003
7/11/2003,December 04,OI,555,7,2003
7/11/2003,December 04,OI Change,66,7,2003
7/11/2003,March 05,Sales,572,7,2003
7/11/2003,March 05,S Change,0,7,2003
7/11/2003,March 05,Purchase,0,7,2003
7/11/2003,March 05,P Change,0,7,2003
7/11/2003,March 05,OI,10,7,2003
7/11/2003,March 05,OI Change,0,7,2003
7/11/2003,May 05,Sales,306,7,2003
7/11/2003,May 05,S Change,0,7,2003
7/11/2003,May 05,Purchase,0,7,2003
7/11/2003,May 05,P Change,0,7,2003
7/11/2003,May 05,OI,25,7,2003
7/11/2003,May 05,OI Change,0,7,2003
7/11/2003,July 05,Sales,606,7,2003
7/11/2003,July 05,S Change,0,7,2003
7/11/2003,July 05,Purchase,0,7,2003
7/11/2003,July 05,P Change,0,7,2003
7/11/2003,July 05,OI,0,7,2003
7/11/2003,July 05,OI Change,0,7,2003
7/11/2003,December 05,Sales,435,7,2003
7/11/2003,December 05,S Change,0,7,2003
7/11/2003,December 05,Purchase,0,7,2003
7/11/2003,December 05,P Change,0,7,2003
7/11/2003,December 05,OI,0,7,2003
7/11/2003,December 05,OI Change,0,7,2003
7/11/2003,Totals,Sales,44310,7,2003
7/11/2003,Totals,S Change,1608,7,2003
7/11/2003,Totals,Purchase,9566,7,2003
7/11/2003,Totals,P Change,-704,7,2003
7/11/2003,Totals,OI,63993,7,2003
7/11/2003,Totals,OI Change,5068,7,2003
7/18/2003,July 03,Sales,0,7,2003
7/18/2003,July 03,S Change,-49,7,2003
7/18/2003,July 03,Purchase,0,7,2003
7/18/2003,July 03,P Change,0,7,2003
7/18/2003,July 03,OI,0,7,2003
7/18/2003,July 03,OI Change,-15,7,2003
7/18/2003,October 03,Sales,2067,7,2003
7/18/2003,October 03,S Change,-113,7,2003
7/18/2003,October 03,Purchase,596,7,2003
7/18/2003,October 03,P Change,75,7,2003
7/18/2003,October 03,OI,3615,7,2003
7/18/2003,October 03,OI Change,116,7,2003
7/18/2003,December 03,Sales,8655,7,2003
7/18/2003,December 03,S Change,-1681,7,2003
7/18/2003,December 03,Purchase,6890,7,2003
7/18/2003,December 03,P Change,512,7,2003
7/18/2003,December 03,OI,47561,7,2003
7/18/2003,December 03,OI Change,-491,7,2003
7/18/2003,March 04,Sales,10264,7,2003
